Timestamp,Permanent SKU,Item Number,Storage Location,Item Name,Brand,Category,Size,Color,Pattern,Condition,Realistic Sold Value,Inventory Status,Listing Platforms,Department,Photo Destination Status,White Photo Links,Raw / Reference Photo Links,Vendoo Draft Queue Status,Processing Notes,Cash-Flow Priority Rank,Estimated 90-Day Sell-Through,Expected Days to Sell,Recommended List Price,Fast-Sale Price,Offer Floor,Optimized SEO Title,Listing Status,Missing Information,Date Analyzed,Optimized Description
2026-06-30,A4-MD-0053,0053,A4,Field & Stream 1871 plaid lined shirt jacket,Field & Stream,Men's Plaid Lined Shirt Jacket,,Cream/Gray/Navy,Plaid,Good,15,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,Men's Tops,,,,,33,40%,30–60,$18.99,$12.99,$10.00,Field & Stream Men's Plaid Lined Shirt Jacket Cream/Gray/Navy,Needs Measurements,"size, final condition, material",2026-07-28,Brand: Field & Stream Size: Not Confirmed Color: Cream/Gray/Navy Condition: Pre-Owned Features: Men's Plaid Lined Shirt Jacket Please review all photos for exact condition and measurements.
2026-06-28,A4-MD-0054,0054,A4,Brooks Brothers 346 slim-fit non-iron cotton plaid shirt,Brooks Brothers,Men's Plaid Button-Up Shirt,,Light Gray/White,Plaid,,$22.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Not Confirmed,,,,,,32,45%,25–55,$27.99,$18.99,$15.00,Brooks Brothers Men's Plaid Button-Up Shirt Light Gray/White,Needs Measurements,"size, final condition, material",2026-07-28,Brand: Brooks Brothers Size: Not Confirmed Color: Light Gray/White Condition: Not Confirmed Features: Men's Plaid Button-Up Shirt Please review all photos for exact condition and measurements.
2026-06-28,A4-MD-0055,0055,A4,DKNY gray blue micro-geometric button-up shirt,DKNY,Men's Patterned Button-Up Shirt,M,Gray/Blue/White,Micro-geometric,,$10.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,White photos uploaded to Vendoo import folder,https://drive.google.com/file/d/1WU0J4fsfoaakZNfJT94tBlmLOvkQdkc-/view?usp=drivesdk https://drive.google.com/file/d/1dHxKpl3sNnxl-GBXHak3L8SDFyHDJO9l/view?usp=drivesdk https://drive.google.com/file/d/1gEJ53gu7j1nNvOqAqyrp2nfNGQQ1K2t7/view?usp=drivesdk https://drive.google.com/file/d/1LuizMLEXqs2VIFpThkxEBJCzSIK8Q_8g/view?usp=drivesdk,,Vendoo draft queue updated,Older SKU; added current white-background photos for listing workflow.,45,30%,40–75,$12.99,$9.99,$7.00,DKNY Men's Patterned Button-Up Shirt M Gray/Blue/White,Needs Measurements,"final condition, material",2026-07-28,Brand: DKNY Size: M Color: Gray/Blue/White Condition: Not Confirmed Features: Men's Patterned Button-Up Shirt Please review all photos for exact condition and measurements.
2026-06-28,A4-MD-0056,0056,A4,Eddie Bauer orange cream plaid button-up shirt,Eddie Bauer,Men's Plaid Button-Up Shirt,L,Rust Orange/Cream/Olive,Plaid,,16,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,Poshmark / eBay / Mercari,Men's Tops,,,,44,35%,35–70,$20.99,$13.99,$11.00,Eddie Bauer Men's Plaid Button-Up Shirt L Rust Orange/Cream,Needs Measurements,"final condition, material",2026-07-28,Brand: Eddie Bauer Size: L Color: Rust Orange/Cream/Olive Condition: Not Confirmed Features: Men's Plaid Button-Up Shirt Please review all photos for exact condition and measurements.
2026-06-29,A4-MD-0057,0057,A4,Licensed Superman DC Comics distressed shield graphic T-shirt,Superman,Men's Graphic T-Shirt,M,Navy Blue/Red/Yellow,Distressed Superman shield graphic,Good,$16.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$20.00,$16.00,$12.80,Superman Men's Graphic T-Shirt M Navy Blue/Red/Yellow,,,,Brand: Superman Size: M Color: Navy Blue/Red/Yellow Condition: Pre-Owned Features: Men's Graphic T-Shirt Please review all photos for exact condition and measurements.
2026-06-29,A4-MD-0058,0058,A4,Roundtree & Yorke Luxury Collection striped non-iron button-down shirt,Roundtree & Yorke,Men's Button-Down Shirt,S,White/Navy/Gray,Vertical stripes,,10,Ready for Vendoo,eBay / Poshmark / Mercari / Depop,Men's Tops,Poshmark / eBay / Mercari,Men's Tops,,,,,,,$12.50,$10.00,$8.00,Roundtree & Yorke Men's Button-Down Shirt S White/Navy/Gray,,,,Brand: Roundtree & Yorke Size: S Color: White/Navy/Gray Condition: Not Confirmed Features: Men's Button-Down Shirt Please review all photos for exact condition and measurements.
2026-06-29,A4-MD-0059,0059,A4,Under Armour women's gray short-sleeve athletic blouse/top,Under Armour,Women's Athletic Top,,Heather Gray,Heathered solid,Good,$12.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,48,40%,30–60,$15.99,$10.99,$8.00,Under Armour Women's Athletic Top Heather Gray,Needs Measurements,"size, material",2026-07-28,Brand: Under Armour Size: Not Confirmed Color: Heather Gray Condition: Pre-Owned Features: Women's Athletic Top Please review all photos for exact condition and measurements.
2026-06-30,A4-MD-0060,0060,A4,Nike Athletics red short-sleeve graphic T-shirt,Nike,Men's Graphic T-Shirt,XL,Red,Solid,Good,,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,41,45%,20–45,$19.99,$13.99,$10.00,Nike Men's Graphic T-Shirt XL Red,Needs Measurements,material,2026-07-28,Brand: Nike Size: XL Color: Red Condition: Pre-Owned Features: Men's Graphic T-Shirt Please review all photos for exact condition and measurements.
2026-06-30,A4-MD-0061,0061,A4,Grey's Anatomy by Barco royal blue snap-front scrub jacket,Grey's Anatomy,Women's Scrub Jacket,M,Royal Blue,Solid,Good,$14.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Women's Workwear / Scrubs,,,,,,17,65%,14–30,$17.99,$12.99,$10.00,Grey's Anatomy Women's Scrub Jacket M Royal Blue,Needs Measurements,"final condition, material",2026-07-28,Brand: Grey's Anatomy Size: M Color: Royal Blue Condition: Pre-Owned Features: Women's Scrub Jacket Please review all photos for exact condition and measurements.
2026-06-30,A4-MD-0062,0062,A4,Nike cream sherpa fleece — label attachment must be verified,Nike,Men's Sherpa Fleece Jacket,,Cream,,Good,$30.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Not Confirmed,,,,,,29,35%,40–75,$44.99,$27.99,$20.00,Nike Men's Sherpa Fleece Jacket Cream,Needs Research,"size, brand, final condition, material, Nike label attachment",2026-07-28,Brand: Nike Size: Not Confirmed Color: Cream Condition: Pre-Owned Features: Men's Sherpa Fleece Jacket Please review all photos for exact condition and measurements.
2026-06-30,A4-MD-0063,0063,A4,GAP black utility/tech jacket,GAP,Men's Utility Jacket,,Black,,Good,$30.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Not Confirmed,,,,,,28,40%,30–60,$39.99,$26.99,$20.00,GAP Men's Utility Jacket Black,Needs Measurements,"size, final condition, material",2026-07-28,Brand: GAP Size: Not Confirmed Color: Black Condition: Pre-Owned Features: Men's Utility Jacket Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0064,0064,A4,Navy multicolor floral wrap romper / jumpsuit,,Women's Romper,M,Navy/Pink/Red,Floral,Good,$18.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's One-Piece / Dresses,Image Url Address,,,,,,,,$22.50,$18.00,$14.40,Navy Multicolor Floral Wrap Romper Jumpsuit M Navy/Pink/Red,,,,Brand: Not Confirmed Size: M Color: Navy/Pink/Red Condition: Pre-Owned Features: Women's Romper Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0065,0065,A4,Levi's white denim jeans,Levi's,Men's Jeans,31x30,White,Solid,Good,$22.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Not Confirmed,Image Url Address,,,,,23,55%,18–40,$27.99,$18.99,$15.00,Levi's Men's Jeans 31x30 White,Needs Measurements,"size, final condition, material",2026-07-28,Brand: Levi's Size: 31x30 Color: White Condition: Pre-Owned Features: Men's Jeans Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0066,0066,A4,Art Class red floral smocked long-sleeve top,Art Class,Girls' Smocked Blouse,XL,Red/White/Yellow,Ditsy floral,Good,$12.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Girls' Tops,Image Url Address,,,,,,,,$15.00,$12.00,$9.60,Art Class Girls' Smocked Blouse XL Red/White/Yellow,,,,Brand: Art Class Size: XL Color: Red/White/Yellow Condition: Pre-Owned Features: Girls' Smocked Blouse Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0067,0067,A4,Xhilaration navy striped lace-sleeve blouse,Xhilaration,Women's Blouse,S,Navy/White,Horizontal stripes,Good,$10.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,Image Url Address,,,,,,,,$12.50,$10.00,$8.00,Xhilaration Women's Blouse S Navy/White,,,,Brand: Xhilaration Size: S Color: Navy/White Condition: Pre-Owned Features: Women's Blouse Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0068,0068,A4,American Eagle gray heather long-sleeve crewneck shirt,American Eagle,Men's Long-Sleeve T-Shirt,M,Heather Gray,Heathered solid,Good,$13.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,Image Url Address,,,,,,,,$16.25,$13.00,$10.40,American Eagle Men's Long-Sleeve T-Shirt M Heather Gray,,,,Brand: American Eagle Size: M Color: Heather Gray Condition: Pre-Owned Features: Men's Long-Sleeve T-Shirt Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0069,0069,A4,Old Navy red eyelet lace long-sleeve blouse,Old Navy,Women's Eyelet Blouse,L,Red,Eyelet floral lace,Good,$14.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$17.50,$14.00,$11.20,Old Navy Women's Eyelet Blouse L Red,,,,Brand: Old Navy Size: L Color: Red Condition: Pre-Owned Features: Women's Eyelet Blouse Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0070,0070,A4,Sonoma gray striped open-front cardigan,Sonoma,Women's Cardigan Sweater,S,Gray/White,Horizontal stripes,Good,$14.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$17.50,$14.00,$11.20,Sonoma Women's Cardigan Sweater S Gray/White,,,,Brand: Sonoma Size: S Color: Gray/White Condition: Pre-Owned Features: Women's Cardigan Sweater Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0071,0071,A4,Calvin Klein Performance black long-sleeve turtleneck top,Calvin Klein,Women's Athletic Turtleneck,L,Black,Solid,Good,$18.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$22.50,$18.00,$14.40,Calvin Klein Women's Athletic Turtleneck L Black,,,,Brand: Calvin Klein Size: L Color: Black Condition: Pre-Owned Features: Women's Athletic Turtleneck Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0072,0072,A4,Mossimo Supply Co black white striped short-sleeve knit dress,Mossimo,Women's Casual Knit Dress,S,Black/White,Horizontal stripes,Good,$12.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Dresses,,,,,,,,,$15.00,$12.00,$9.60,Mossimo Women's Casual Knit Dress S Black/White,,,,Brand: Mossimo Size: S Color: Black/White Condition: Pre-Owned Features: Women's Casual Knit Dress Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0073,0073,A4,American Eagle tan stretch skinny pants / chinos,American Eagle,Women's Casual Pants,6,Tan,Solid,Good,$16.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Bottoms,,,,,,,,,$20.00,$16.00,$12.80,American Eagle Women's Casual Pants 6 Tan,,,,Brand: American Eagle Size: 6 Color: Tan Condition: Pre-Owned Features: Women's Casual Pants Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0074,0074,A4,Lucky Brand white gray raglan long-sleeve top,Lucky Brand,Women's Long-Sleeve Top,M,White/Heather Gray,Colorblock,Good,$14.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$17.50,$14.00,$11.20,Lucky Brand Women's Long-Sleeve Top M White/Heather Gray,,,,Brand: Lucky Brand Size: M Color: White/Heather Gray Condition: Pre-Owned Features: Women's Long-Sleeve Top Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0075,0075,A4,White textured eyelash open-front cardigan,,Women's Open-Front Cardigan,S,White,Textured eyelash,Good,$15.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$18.75,$15.00,$12.00,White Textured Eyelash Open-Front Cardigan S White,,,,Brand: Not Confirmed Size: S Color: White Condition: Pre-Owned Features: Women's Open-Front Cardigan Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0076,0076,A4,Focus 2000 Collection gray pinstripe dress pants,Focus 2000,Women's Dress Pants,6,Gray,Pinstripe,Good,$14.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Bottoms,,,,,,,,,$17.50,$14.00,$11.20,Focus 2000 Women's Dress Pants 6 Gray,,,,Brand: Focus 2000 Size: 6 Color: Gray Condition: Pre-Owned Features: Women's Dress Pants Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0077,0077,A4,Perceptions New York black white abstract print dress,Perceptions,Women's Printed Dress,6,Black/White,Abstract geometric,Good,$18.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Dresses,,,,,,,,,$22.50,$18.00,$14.40,Perceptions Women's Printed Dress 6 Black/White,,,,Brand: Perceptions Size: 6 Color: Black/White Condition: Pre-Owned Features: Women's Printed Dress Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0078,0078,A4,Dark indigo denim long-sleeve button-up shirt,,Men's Denim Button-Up Shirt,,Dark Indigo Blue,Solid denim,Good,$18.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Not Confirmed,,,,,,,,,$22.50,$18.00,$14.40,Dark Indigo Blue Men's Denim Button-Up Shirt Dark Indigo Blue,,,,Brand: Not Confirmed Size: Not Confirmed Color: Dark Indigo Blue Condition: Pre-Owned Features: Men's Denim Button-Up Shirt Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0079,0079,A4,Black gray striped long-sleeve tunic top,,Women's Long-Sleeve Tunic,M,Black/Charcoal Gray,Horizontal stripes,Good,$12.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$15.00,$12.00,$9.60,Black Charcoal Gray Women's Long-Sleeve Tunic M Black/Charcoal Gray,,,,Brand: Not Confirmed Size: M Color: Black/Charcoal Gray Condition: Pre-Owned Features: Women's Long-Sleeve Tunic Please review all photos for exact condition and measurements.
2026-07-03,A4-MD-0080,0080,A4,Worthington red paisley sleeveless blouse,Worthington,Women's Sleeveless Blouse,M,Red/Black/White,Paisley,Good,$13.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$16.25,$13.00,$10.40,Worthington Women's Sleeveless Blouse M Red/Black/White,,,,Brand: Worthington Size: M Color: Red/Black/White Condition: Pre-Owned Features: Women's Sleeveless Blouse Please review all photos for exact condition and measurements.
